type,url,chemin,modifie
post,https://www.victrix.ca/ressources/,/ressources/,2026-08-10T13:51:57+00:00
post,https://www.victrix.ca/en/best-practices-in-operational-security-defense/,/en/best-practices-in-operational-security-defense/,2023-04-12T12:20:38+00:00
post,https://www.victrix.ca/en/best-practices-in-operational-security-monitoring/,/en/best-practices-in-operational-security-monitoring/,2023-04-12T12:23:10+00:00
post,https://www.victrix.ca/en/best-practices-in-operational-safety-maintenance/,/en/best-practices-in-operational-safety-maintenance/,2023-04-12T12:25:55+00:00
post,https://www.victrix.ca/meilleures-pratiques-en-securite-operationnelle-la-defense/,/meilleures-pratiques-en-securite-operationnelle-la-defense/,2023-04-12T12:34:13+00:00
post,https://www.victrix.ca/meilleures-pratiques-en-securite-operationnelle-la-maintenance/,/meilleures-pratiques-en-securite-operationnelle-la-maintenance/,2023-04-13T09:23:53+00:00
post,https://www.victrix.ca/meilleures-pratiques-en-securite-operationnelle-la-surveillance/,/meilleures-pratiques-en-securite-operationnelle-la-surveillance/,2023-04-13T09:26:55+00:00
post,https://www.victrix.ca/en/law-25-personal-data-guide/,/en/law-25-personal-data-guide/,2024-09-12T20:09:16+00:00
post,https://www.victrix.ca/en/iot-security-challenges/,/en/iot-security-challenges/,2024-09-30T21:04:47+00:00
post,https://www.victrix.ca/reglementation-dora/,/reglementation-dora/,2024-10-14T07:21:12+00:00
post,https://www.victrix.ca/en/dora-regulation/,/en/dora-regulation/,2024-10-14T14:43:10+00:00
post,https://www.victrix.ca/migration-windows-11-microsoft-exchange/,/migration-windows-11-microsoft-exchange/,2025-08-05T13:29:52+00:00
post,https://www.victrix.ca/en/migration-windows-11-microsoft-exchange/,/en/migration-windows-11-microsoft-exchange/,2025-08-05T13:32:02+00:00
post,https://www.victrix.ca/en/iso-27001-iso-9001-certifications/,/en/iso-27001-iso-9001-certifications/,2025-08-29T13:23:39+00:00
post,https://www.victrix.ca/en/expands-cybersecurity-offering-france/,/en/expands-cybersecurity-offering-france/,2025-08-29T13:25:22+00:00
post,https://www.victrix.ca/developpement-offre-cybersecurite-france/,/developpement-offre-cybersecurite-france/,2025-08-29T13:25:31+00:00
post,https://www.victrix.ca/societe-conseil-lambda-victrix/,/societe-conseil-lambda-victrix/,2025-08-29T13:26:01+00:00
post,https://www.victrix.ca/en/dominic-lajoie-appointed/,/en/dominic-lajoie-appointed/,2025-09-25T14:30:19+00:00
post,https://www.victrix.ca/nomination-dominic-lajoie/,/nomination-dominic-lajoie/,2025-09-25T14:31:23+00:00
post,https://www.victrix.ca/ia-servicenow/,/ia-servicenow/,2025-11-14T19:02:52+00:00
post,https://www.victrix.ca/certification-iso-27001-iso-9001/,/certification-iso-27001-iso-9001/,2026-04-01T15:01:55+00:00
post,https://www.victrix.ca/en/setting-up-a-soc/,/en/setting-up-a-soc/,2026-07-07T18:27:47+00:00
post,https://www.victrix.ca/une-journee-dans-la-vie-secops/,/une-journee-dans-la-vie-secops/,2026-07-07T18:58:26+00:00
post,https://www.victrix.ca/mise-en-place-soc/,/mise-en-place-soc/,2026-07-08T14:38:34+00:00
post,https://www.victrix.ca/en/appointment-ceo/,/en/appointment-ceo/,2026-07-08T18:32:10+00:00
post,https://www.victrix.ca/annonce-nomination-ceo/,/annonce-nomination-ceo/,2026-07-08T18:33:56+00:00
post,https://www.victrix.ca/en/extended-reality-xr-agc-partnership/,/en/extended-reality-xr-agc-partnership/,2026-07-08T20:48:22+00:00
post,https://www.victrix.ca/realite-etendue-xr-partenariat-agc/,/realite-etendue-xr-partenariat-agc/,2026-07-08T20:55:49+00:00
post,https://www.victrix.ca/audit-cybersecurite/,/audit-cybersecurite/,2026-07-08T21:13:56+00:00
post,https://www.victrix.ca/directive-nis2/,/directive-nis2/,2026-07-08T21:15:14+00:00
post,https://www.victrix.ca/pentest-cybersecurite/,/pentest-cybersecurite/,2026-07-08T21:31:10+00:00
